DateTime:17/08/2022 23:08, Calculation:((2+3i*10+1j) + 3-4j*2-8j)*3+1i, Result:(-27-9j)
DateTime:17/17/2022 23:17, Calculation:((2+3i*10+1j) + 3-4j*2-8j)*3+1i, Result:(-27-9j)
DateTime:17/32/2022 23:32, Calculation:(((2+3i)*(10+1j)) + (3-4j)*(2-8j))*(3+1i), Result:(-27-9j)
DateTime:17/39/2022 23:39, Calculation:(((2+3i)*(10+1j)) + (3-4j)*(2-8j))*(3+1i), Result:(-27-9j)
DateTime:17/40/2022 23:40, Calculation:((2+3i*10+1j) + 3-4j*2-8j)*3+1i, Result:(-27-9j)
DateTime:17/53/2022 23:53, Calculation:(((2.537 + 3.258) * 6.13)*2)^3, Result:358617.70873
DateTime:17/53/2022 23:53, Calculation:(((2+3i)*(10+1j)) + (3-4j)*(2-8j))*(3+1i), Result:(-27-9j)
DateTime:17/54/2022 23:54, Calculation:((2+3i*10+1j) + 3-4j*2-8j)*3+1i, Result:(-27-9j)
DateTime:18/05/2022 15:05, Calculation:(1+3j)*2-1, Result:7.0
DateTime:18/15/2022 15:15, Calculation:(1+3j)*2-1, Result:7.0
DateTime:18/18/2022 15:18, Calculation:(1+3j)*2-1, Result:7.0
DateTime:18/20/2022 15:20, Calculation:(1+3j)*2-1, Result:7.0
DateTime:18/21/2022 15:21, Calculation:(1+3j)*2-1, Result:7.0
DateTime:18/26/2022 15:26, Calculation:2+1i*3+2j, Result:(4+7j)
DateTime:18/28/2022 15:28, Calculation:(3+2i)*2, Result:(6+4j)
DateTime:18/32/2022 15:32, Calculation:(3+2i)*2, Result:(6+4j)
DateTime:18/41/2022 16:41, Calculation:(3+2i)*2+1-3, Result:(4+2j)
DateTime:18/42/2022 16:42, Calculation:(3+2i)*2, Result:(6+2j)
DateTime:18/47/2022 16:47, Calculation:(3+2i)*2+1-3, Result:(4+4j)
DateTime:18/48/2022 16:48, Calculation:(3+2i)*2+1-3i, Result:(7+1j)
